URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-agree-ii-domains,0.2.0,active,,AGREEIIDomains,AGREE II Domains,"CodeSystem representing the domains assessed by the AGREE II instrument for evaluating the quality of clinical practice guidelines.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-amstar2-confidence-ratings,0.2.0,active,,AMSTAR2ConfidenceRatings,AMSTAR 2 Overall Confidence Ratings,"CodeSystem representing the overall confidence ratings from the AMSTAR 2 critical appraisal tool.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-awmf,0.2.0,active,,AWMFCS,awmf,"CodeSystem representing different codes of interest for the Arbeitsgemeinschaft der Wissenschaftlichen Medizinischen Fachgesellschaften (AWMF)",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-awmf-guideline-class,0.2.0,active,,AWMFGuidelineClass,AWMF Guideline Class,"As part of the project planning for the creation or updating of a guideline,     a decision should be made at an early stage about the planned level classification (""S classification"") according to the AWMF's system of rules (1-3).     The S-classification scheme of the AWMF differentiates between the classes S1 treatment recommendation as well as S2e, S2k and S3 guideline.     The ""S"" stands for the extent of the applied systematic approach in the development process of a guideline.     Each class thus stands for a specific methodological concept that must be presented in a way that is comprehensible to the users.     The choice of class is based on the question of how much effort is appropriate and feasible.     The need for legitimacy for the implementation of the guideline (convincing the target group) must be taken into account.     When choosing a higher S-classification in the context of updating a guideline, the adaptation to the corresponding methodology has to be considered.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-awmf-guideline-status,0.2.0,active,,AWMFGuidelineStatus,AWMF Guideline Status,"CodeSystem representing the guideline status according to the AWMF.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-body-systems-conditions,0.2.0,active,,BodySystemConditionsCS,Body System Conditions,"CodeSystem representing various body system conditions.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-care-setting,0.2.0,active,,CareSetting,Care Setting,"CodeSystem defining different care settings, including levels of care, healthcare services, and treatment contexts.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-clinical-application-type,0.2.0,active,,ClinicalApplicationTypeCS,Clinical Application Type,"CodeSystem defining different clinical application types",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-contact-point,0.2.0,active,,ContactPoint,Contact Point,"CodeSystem defining types of contact points for a guideline",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-evidence-to-decision-certainty-rating,0.2.0,active,,EvidenceToDecisionCertaintyRating,Evidence To Decision Certainty Rating,"CodeSystem defining GRADE Evidence to Decision (EtD) Framework Certainty Ratings",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-evidence-to-decision-certainty-type,0.2.0,active,,EvidenceToDecisionCertaintyType,Evidence To Decision Certainty type,"CodeSystem defining values to represent the GRADE Evidence to Decision (EtD) Framework Certainty Type",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-guideline-author-role,0.2.0,active,,GuidelineAuthorRoleCS,Guideline Author Role,"CodeSystem defining roles for the author of the guideline.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-guideline-release-type,0.2.0,active,,GuidelineReleaseType,Guideline Release Type,"CodeSystem defining different guideline release types",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-guideline-sections,0.2.0,active,,GuidelineSectionsCS,Guideline Sections,"Sections of a guideline, describing various aspects such as its intention, target patient group, care setting, and other relevant contextual information.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-intended-audience,0.2.0,active,,IntendedAudienceCS,Intended Audience Code System,"CodeSystem defining possible intended audiences for a section",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-level-of-consensus,0.2.0,active,,LevelOfConsensusCS,Level of Consensus,"CodeSystem defining the values representing the level of consensus for a recommendation.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-medical-subject-categories,0.2.0,active,,MedicalSubjectCategoriesCS,Medical Subject Categories,"CodeSystem defining values to classify medical subjects into different categories.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-ocebm-2009-levels-of-evidence,0.2.0,active,,OCEBM2009LevelsOfEvidence,OCEBM 2009 Levels of Evidence,"CodeSystem representing the Oxford Centre for Evidence-Based Medicine 2009 CEBM Levels of Evidence",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-ocebm-2011-levels-of-evidence,0.2.0,active,,OCEBM2011LevelsOfEvidence,OCEBM 2011 Levels of Evidence,"CodeSystem representing the Oxford Centre for Evidence-Based Medicine 2011 Levels of Evidence.",
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-pico,0.2.0,active,,PICOCS,PICO Related Terms,"CodeSystem defining different terms related to PICO question and objects",
