URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-agree-ii-domains,0.2.0,active,,AGREEIIDomains,AGREE II Domains,"CodeSystem representing the domains assessed by the AGREE II instrument for evaluating the quality of clinical practice guidelines.","ValueSet/vs-agree-ii-domains"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-amstar2-confidence-ratings,0.2.0,active,,AMSTAR2ConfidenceRatings,AMSTAR 2 Overall Confidence Ratings,"CodeSystem representing the overall confidence ratings from the AMSTAR 2 critical appraisal tool.","ValueSet/vs-amstar2-confidence-ratings"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-awmf-guideline-class,0.2.0,active,,AWMFGuidelineClass,AWMF Guideline Class,"As part of the project planning for the creation or updating of a guideline,     a decision should be made at an early stage about the planned level classification (""S classification"") according to the AWMF's system of rules (1-3).     The S-classification scheme of the AWMF differentiates between the classes S1 treatment recommendation as well as S2e, S2k and S3 guideline.     The ""S"" stands for the extent of the applied systematic approach in the development process of a guideline.     Each class thus stands for a specific methodological concept that must be presented in a way that is comprehensible to the users.     The choice of class is based on the question of how much effort is appropriate and feasible.     The need for legitimacy for the implementation of the guideline (convincing the target group) must be taken into account.     When choosing a higher S-classification in the context of updating a guideline, the adaptation to the corresponding methodology has to be considered.","ValueSet/vs-awmf-guideline-class"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-awmf-guideline-status,0.2.0,active,,AWMFGuidelineStatus,AWMF Guideline Status,"CodeSystem representing the guideline status according to the AWMF.","ValueSet/vs-awmf-guideline-status,ConceptMap/FHIRStatusToAWMFStatus"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-body-systems-conditions,0.2.0,active,,BodySystemConditionsCS,Body System Conditions,"CodeSystem representing various body system conditions.","ValueSet/vs-body-system-conditions"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-care-setting,0.2.0,active,,CareSetting,Care Setting,"CodeSystem defining different care settings, including levels of care, healthcare services, and treatment contexts.","ValueSet/vs-care-level,ValueSet/vs-encounter-type,ValueSet/vs-care-stage"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-clinical-application-type,0.2.0,active,,ClinicalApplicationTypeCS,Clinical Application Type,"CodeSystem defining different clinical application types","ValueSet/vs-clinical-application-type"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-contact-point,0.2.0,active,,ContactPoint,Contact Point,"CodeSystem defining types of contact points for a guideline","ValueSet/vs-guideline-contact-point"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-evidence-to-decision-certainty-rating,0.2.0,active,,EvidenceToDecisionCertaintyRating,Evidence To Decision Certainty Rating,"CodeSystem defining GRADE Evidence to Decision (EtD) Framework Certainty Ratings","ValueSet/vs-rating-benefits-and-harms,ValueSet/vs-rating-feasibility,ValueSet/vs-rating-preference-and-values,ValueSet/vs-rating-equity,ValueSet/vs-rating-resources,ValueSet/vs-rating-acceptability"
http://fhir.awmf.org/awmf.ig/CodeSystem/cs-guideline-author-role,0.2.0,active,,GuidelineAuthorRoleCS,Guideline Author Role,"CodeSystem defining roles for the author of the guideline.","ValueSet/vs-guideline-author-role"
