Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-awmf.ig.json	61343	-	0	0	0	0	0	0	15	98	0	0	0	0	0	0	0	1	0	0	188	424	0	0	0	6	0	1
fsh-generated/resources/ArtifactAssessment-CoE-MultiplexPCRDiagnostic-AntibioticDays.json	1547	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	23	17	0	0	0	0	0	0
fsh-generated/resources/ArtifactAssessment-CoE-MultiplexPCRDiagnostic-Mortality.json	1531	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/ArtifactAssessment-CoE-MultiplexPCRDiagnostic-TimeToDeescalation.json	1560	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
fsh-generated/resources/ArtifactAssessment-RecommendationHAPDiagnosis-A-Justification.json	2634	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0
fsh-generated/resources/ArtifactAssessment-RecommendationHAPDiagnosis-B-Justification.json	2630	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0
fsh-generated/resources/ArtifactAssessment-RecommendationMultiplexPCRDiagnostic-Justification.json	4579	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-agree-ii-domains.json	5893	4	0	0	0	0	0	0	1	18	0	0	1	0	0	0	0	0	0	0	28	393	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-amstar2-confidence-ratings.json	4877	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	20	58	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-awmf-guideline-class.json	4591	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	26	49	0	0	0	0	0	1
