URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_33.html,2025.3.20250714,active,"1.2.840.10008.6.1.1283",Modality,,"Transitive closure of CID 33 Modality","StructureDefinition/guideline-attachment","DICOM"
http://fhir.awmf.org/awmf.ig/ValueSet/ocebm-2011-levels-of-evidence-vs,0.2.0,draft,,OCEBM2011LevelsOfEvidenceVS,OCEBM 2011 Levels of Evidence Value Set,"ValueSet encompassing all levels from the OCEBM 2011 Levels of Evidence.","StructureDefinition/recommendation-justification-oxford-2011","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-agree-ii-domains,0.2.0,active,,AGREEIIDomainsVS,AGREE II Domains Value Set,"ValueSet encompassing all domains from the AGREE II instrument.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-amstar2-confidence-ratings,0.2.0,active,,AMSTAR2ConfidenceRatingsVS,AMSTAR 2 Confidence Ratings Value Set,"ValueSet encompassing all overall confidence ratings from the AMSTAR 2 critical appraisal tool.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-awmf-guideline-class,0.2.0,draft,,AWMFGuidelineClassVS,AWMF Guideline Class,"ValueSet listing values representing guideline classes according to the AWMF.","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-awmf-guideline-status,0.2.0,draft,,AWMFGuidelineStatusVS,AWMF Guideline Status,"ValueSet listing values to define the guideline status according to the AWMF.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-body-system-conditions,0.2.0,draft,,BodySystemConditionsVS,Body System Conditions,"ValueSet listing various body system conditions",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-care-level,0.2.0,draft,,CareLevelVS,Care Level,"ValueSet listing levels of care.","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-care-stage,0.2.0,draft,,CareStageVS,Care Stage,"ValueSet listing stages of care from prevention to rehabilitation.","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-clinical-application-type,0.2.0,draft,,ClinicalApplicationTypeVS,Clinical Application Type,"ValueSet listing different clinical application types","StructureDefinition/recommendation","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-content-types,0.2.0,draft,,ContentTypesVS,Content Types,"ValueSet listing types of content that can be part of a guideline or recommendation.","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/guideline-attachment,StructureDefinition/recommendation,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-dissemination-website,0.2.0,draft,,DisseminationWebsite,Dissemination Website,"ValueSet listing types of dissemination websites","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-encounter-type,0.2.0,draft,,EncounterTypeVS,Encounter Type,"ValueSet listing types of patient encounters based on hospitalization status.","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-guideline-author-role,0.2.0,draft,,GuidelineAuthorRoleVS,Guideline Author Role,"ValueSet listing roles that a author can have in a guideline.","StructureDefinition/ext-guideline-author-role","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-guideline-contact-point,0.2.0,draft,,GuidelineContactPointVS,Guideline Contact Point VS,"ValueSet listing contact points relevant to guidelines, such as registrants, coordinators, and main contacts.",,"Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-guideline-release-type,0.2.0,draft,,GuidelinesReleaseTypeVS,Guideline Release Type,"ValueSet listing different guideline release types","StructureDefinition/awmf-guideline-record-s2k,StructureDefinition/awmf-guideline-record-s3,StructureDefinition/guideline-registry-record,StructureDefinition/awmf-guideline-record-s2e,StructureDefinition/awmf-guideline-record-s1","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-guideline-sections,0.2.0,draft,,GuidelineSectionsVS,Guideline Sections,"ValueSet listing values to use to define guideline sections","StructureDefinition/awmf-guideline,StructureDefinition/recommendation","hl7.fhir.uv.ebm,Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-intended-audience,0.2.0,draft,,IntendedAudienceVS,Intended Audience Value Set,"ValueSet listing codes representing intended audiences for a section","StructureDefinition/ext-section-intended-audience","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-level-of-consensus,0.2.0,draft,,LevelOfConsensusVS,Level Of Consensus,"ValueSet listing values to define the level of consensus for a recommendation.","StructureDefinition/recommendation-justification-grade,StructureDefinition/recommendation-justification-sign,StructureDefinition/recommendation-justification-expert-consensus,StructureDefinition/recommendation-justification-oxford-2011,StructureDefinition/recommendation-justification,StructureDefinition/recommendation-justification-oxford-2009,StructureDefinition/recommendation-justification-awmf","Internal"
http://fhir.awmf.org/awmf.ig/ValueSet/vs-medical-subject-categories,0.2.0,draft,,MedicalSubjectCategoriesVS,Medical Subject Categories,"ValueSet listing values to classify medical subjects into different categories.","StructureDefinition/ext-medical-subject-category","Internal"
